Category,Key/Heading,Value
Meta,title,Tsuki Wiki - Create Beautiful Custom Wikis with Themes
Meta,description,"Doraemon (ドラえもん) is a Japanese manga series written and illustrated by Fujiko F. Fujio. First serialized in 1969, the manga's chapters were collected in 45 tankōbon volumes published by Shogakukan from 1974 to 1996. The story revolves around an earless robotic cat named Doraemon, who travels back in time from the 22nd century to assist a boy named Nobita Nobi in his day-to-day life."
Meta,keywords,"wiki, knowledge base, documentation, custom themes, collaborative editing, wiki platform, content management, markdown editor, rich text editor"
Meta,author,Tsuki Wiki
Meta,robots,"index, follow"
Meta,language,English
Meta,revisit-after,7 days
Meta,viewport,"width=device-width,initial-scale=1,maximum-scale=5"
Meta,theme-color,#15202B
Meta,msapplication-TileColor,#15202B
Meta,og:type,website
Meta,og:url,https://tsuki.page/wiki/doraemon
Meta,og:title,Doraemon Wiki | Tsuki Wiki
Meta,og:description,"Doraemon (ドラえもん) is a Japanese manga series written and illustrated by Fujiko F. Fujio. First serialized in 1969, the manga's chapters were collected in 45 tankōbon volumes published by Shogakukan from 1974 to 1996. The story revolves around an earless robotic cat named Doraemon, who travels back in time from the 22nd century to assist a boy named Nobita Nobi in his day-to-day life."
Meta,og:image,/logo.png
Meta,og:site_name,Tsuki Wiki
Meta,og:locale,en_US
Meta,twitter:card,summary_large_image
Meta,twitter:url,https://tsuki.page/
Meta,twitter:title,Doraemon Wiki | Tsuki Wiki
Meta,twitter:description,"Doraemon (ドラえもん) is a Japanese manga series written and illustrated by Fujiko F. Fujio. First serialized in 1969, the manga's chapters were collected in 45 tankōbon volumes published by Shogakukan from 1974 to 1996. The story revolves around an earless robotic cat named Doraemon, who travels back in time from the 22nd century to assist a boy named Nobita Nobi in his day-to-day life."
Meta,twitter:image,/logo.png
Section (h1),Doraemon Wiki,"Doraemon (ドラえもん) is a Japanese manga series written and illustrated by Fujiko F. Fujio. First serialized in 1969, the manga's chapters were collected in 45 tankōbon volumes published by Shogakukan from 1974 to 1996. The story revolves around an earless robotic cat named Doraemon, who travels back in time from the 22nd century to assist a boy named Nobita Nobi in his day-to-day life."
Section (h2),Pages,"This wiki is a collaborative English-language encyclopedia dedicated to the world of Doraemon. What makes this project unique is its focus on the Indian release order of episodes, movies, and content, rather than the original Japanese sequence. Our goal is to create a reliable, and accessible resource for fans who experienced Doraemon through its Indian broadcasts and releases. Some Links: 1979-2005 2005-Present Movies"
